Country,Countofroundabouts_merged.csv,AreaKm2,raperkm
FR,66616,551695,0.1207
ES,51580,505990,0.1019
IT,42691,301340,0.1417
US,34243,9833517,0.0035
AU,27664,7692024,0.0036
BR,26453,8515767,0.0031
GB,26125,243610,0.1072
IR,18084,1648195,0.0110
DE,16981,357114,0.0476
PT,11176,92212,0.1212
PL,9523,312679,0.0305
IL,8750,20770,0.4213
IN,6922,3287263,0.0021
MX,6870,1964375,0.0035
AE,6635,83600,0.0794
NL,6603,41543,0.1589
ZA,6232,1219090,0.0051
RU,6069,17098242,0.0004
CN,5851,9596960,0.0006
AR,5818,2780400,0.0021
TR,5590,783562,0.0071
DZ,5060,2381741,0.0021
MA,5051,446550,0.0113
BE,5040,30528,0.1651
EG,5030,1001449,0.0050
SE,4937,450295,0.0110
SA,4644,2149690,0.0022
ID,4244,1904569,0.0022
MY,3469,329847,0.0105
TH,3442,513120,0.0067
CH,3432,41285,0.0831
RO,3133,238397,0.0131
NO,3117,323802,0.0096
CA,3082,9984670,0.0003
NZ,2951,270467,0.0109
IE,2653,70273,0.0378
CZ,2599,78866,0.0330
VN,2359,331212,0.0071
TN,2305,163610,0.0141
AT,2233,83871,0.0266
DK,2147,43094,0.0498
NG,2026,923768,0.0022
UA,1950,603550,0.0032
QA,1912,11586,0.1650
HU,1875,93028,0.0202
PS,1800,6020,0.2990
CO,1790,1141748,0.0016
KR,1754,100450,0.0175
FI,1754,338424,0.0052
KW,1742,17818,0.0978
PK,1501,881913,0.0017
OM,1501,309500,0.0048
IQ,1429,438317,0.0033
GR,1362,131957,0.0103
SY,1315,185180,0.0071
PH,1245,342353,0.0036
CL,1180,756102,0.0016
HR,1130,56594,0.0200
SI,1052,20273,0.0519
EC,982,283561,0.0035
PE,969,1285216,0.0008
JO,938,89342,0.0105
BO,855,1098581,0.0008
BY,826,207600,0.0040
SK,722,49035,0.0147
CY,722,9251,0.0780
BG,648,110879,0.0058
RE,618,2511,0.2461
LT,610,65300,0.0093
ET,602,1104300,0.0005
RS,601,77474,0.0078
VE,599,912050,0.0007
LY,588,1759540,0.0003
GT,544,108889,0.0050
AO,524,1246700,0.0004
EE,503,45228,0.0111
HK,500,,
LV,483,64589,0.0075
BH,479,760,0.6303
GE,441,69700,0.0063
UY,412,176215,0.0023
AF,412,652230,0.0006
PA,408,75417,0.0054
LU,405,2586,0.1566
KE,401,580367,0.0007
LB,390,10452,0.0373
GH,367,238533,0.0015
BA,362,51197,0.0071
SN,355,196722,0.0018
AL,352,28748,0.0122
TZ,336,945087,0.0004
IS,328,103000,0.0032
SV,326,21041,0.0155
AZ,324,86600,0.0037
YE,314,527968,0.0006
UZ,301,447400,0.0007
PY,301,406752,0.0007
ZM,288,752618,0.0004
CM,287,475442,0.0006
MU,284,2040,0.1392
KZ,282,2724900,0.0001
KH,273,181035,0.0015
MQ,263,1128,0.2332
CR,263,51100,0.0051
XK,252,10887,0.0231
CD,244,2344858,0.0001
MT,243,316,0.7690
CI,243,322462,0.0008
LK,236,65610,0.0036
UG,233,241038,0.0010
CU,233,109884,0.0021
DO,226,48671,0.0046
SG,220,697,0.3156
TW,216,35980,0.0060
TM,214,488100,0.0004
MZ,212,801590,0.0003
MM,210,676578,0.0003
MD,205,33846,0.0061
GP,199,1628,0.1222
GQ,197,28051,0.0070
NI,187,130373,0.0014
NC,185,18575,0.0100
JP,183,377930,0.0005
BD,179,147570,0.0012
MK,172,25713,0.0067
PR,171,,
CV,169,4033,0.0419
TG,168,56785,0.0030
BF,166,274222,0.0006
ML,164,1240192,0.0001
AM,156,29743,0.0052
BS,153,13943,0.0110
MG,150,587041,0.0003
ZW,148,390757,0.0004
MO,147,,
BN,142,5765,0.0246
,140,14843480,0.0000
BJ,135,112622,0.0012
CG,133,342000,0.0004
EH,123,,
JM,111,10991,0.0101
PG,108,462840,0.0002
HN,104,112492,0.0009
TD,102,1284000,0.0001
AD,98,468,0.2094
ME,94,13812,0.0068
GA,92,267668,0.0003
TT,91,5128,0.0177
GF,89,83534,0.0011
BB,86,430,0.2000
SL,83,71740,0.0012
LA,83,236800,0.0004
BW,78,581730,0.0001
SD,76,1861484,0.0000
NP,76,147181,0.0005
ER,74,117600,0.0006
AW,74,,
MR,71,1030700,0.0001
SZ,70,17364,0.0040
KY,68,,
GN,68,245857,0.0003
TJ,67,143100,0.0005
KG,59,199951,0.0003
MN,58,1564116,0.0000
VA,56,0,
RW,55,26338,0.0021
NE,55,1267000,0.0000
FJ,54,18274,0.0030
BZ,53,22966,0.0023
KP,52,120540,0.0004
DJ,51,23200,0.0022
CF,47,622984,0.0001
YT,46,374,0.1230
MW,45,118484,0.0004
PF,41,4167,0.0098
FO,41,1393,0.0294
CW,41,,
IM,40,572,0.0699
KN,39,261,0.1494
MC,37,2,18.5000
LS,37,30355,0.0012
SM,36,61,0.5902
BM,36,,
HT,35,27750,0.0013
SO,30,637657,0.0000
TL,28,14874,0.0019
BT,28,38394,0.0007
AX,27,1580,0.0171
GY,26,214969,0.0001
SS,22,644329,0.0000
SC,21,455,0.0462
MF,21,53,0.3962
KM,21,2235,0.0094
GI,21,6,3.5000
GD,21,344,0.0610
SR,20,163820,0.0001
BI,19,27830,0.0007
LI,17,160,0.1063
GM,17,11295,0.0015
GU,16,,
SX,15,,
LC,15,616,0.0244
GW,15,36125,0.0004
GL,14,2166086,0.0000
AG,14,442,0.0317
ST,12,964,0.0124
JE,10,116,0.0862
MP,9,,
DM,9,751,0.0120
VG,8,,
BQ,8,,
VU,7,12189,0.0006
VI,7,,
TO,7,747,0.0094
MV,7,298,0.0235
AI,7,,
TC,5,948,0.0053
SB,5,28896,0.0002
LR,5,111369,0.0000
AS,5,,
WS,4,2831,0.0014
GG,4,78,0.0513
CK,4,236,0.0169
BL,4,21,0.1905
MS,3,,
VC,2,389,0.0051
PM,2,242,0.0083
NR,2,21,0.0952
WF,1,142,0.0070
TV,1,26,0.0385
NF,1,36,0.0278
MH,1,181,0.0055
CX,1,135,0.0074
